ENTRY_ID,ENTITY_NAME,CREATED_AT,LAST_PLAYED_AT,PLAYS,OWNER,TAGS,CATEGORIES,HAS_AUDIO_DESCRIPTION,CAPTIONS_LANGUAGE,CAPTIONS_LANGUAGE_CODE,CAPTIONS_USAGE_TYPE,CAPTIONS_CREATION_MODE,CAPTIONS_EDITED,CAPTIONS_ACCURACY,CAPTIONS_DISPLAY_ON_PLAYER
1,Family Services,2022-10-22,2024-08-06,2501,youth@services.org,council;meeting;public,InContext,false,Spanish,es,Standard,Machine,true,91%,false
2,County Health Dept,2022-04-22,2024-05-14,2685,webmaster@city.gov,infrastructure;roads;maintenance,InContext,true,Mandarin,zh,EAD,Upload,false,98%,false
3,Community Center,2022-12-13,2024-06-21,2592,water@district.gov,safety;routes;schedules,InContext,false,German,de,Standard,Human,true,95%,false
4,Grant Administration,2022-06-08,2024-08-04,2101,media@college.edu,services;permits;applications,InContext,false,Arabic,ar,EAD,Human,true,94%,true
5,Environmental Agency,2022-02-28,2024-01-31,556,parks@county.gov,tutorial;reading;kids,InContext,false,-,-,-,-,-,-,-
6,Neighborhood Watch,2022-11-10,2024-01-07,1405,va@veterans.gov,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
7,Animal Services,2022-12-05,2024-01-24,2930,parks@county.gov,council;meeting;public,InContext,true,Arabic,ar,Standard,Human,false,99%,false
8,Public Works Dept,2022-01-04,2024-02-10,2217,education@state.gov,infrastructure;roads;maintenance,InContext,true,English,en,EAD,Machine,true,97%,true
9,Business Licensing,2023-07-05,2024-07-06,328,housing@authority.gov,benefits;healthcare;support,InContext,true,Arabic,ar,EAD,Upload,true,98%,true
10,Code Enforcement,2022-04-18,2024-01-11,1949,online@techcollege.edu,history;documents;preservation,InContext,true,German,de,EAD,Human,true,94%,false
11,Public Utilities,2023-03-26,2024-03-10,453,fire@city.gov,courses;programming;certificates,InContext,true,Arabic,ar,Standard,Human,true,97%,false
12,Cultural Center,2022-01-28,2024-10-12,1715,library@public.org,conservation;billing;services,InContext,false,French,fr,Standard,Human,true,90%,false
13,Code Enforcement,2022-05-22,2024-08-15,1982,archives@state.gov,council;meeting;public,InContext,false,-,-,-,-,-,-,-
14,Housing Authority,2022-06-27,2024-07-11,708,webmaster@city.gov,programs;mentoring;education,InContext,false,German,de,Standard,Upload,false,97%,true
15,Community Center,2023-05-31,2024-03-09,1690,environment@agency.gov,programs;mentoring;education,InContext,false,Mandarin,zh,Standard,Machine,false,92%,false
16,Adult Education Center,2022-10-23,2024-05-08,2508,water@district.gov,council;meeting;public,InContext,false,French,fr,EAD,Human,false,100%,true
17,Animal Services,2023-06-27,2024-05-13,2341,transit@regional.gov,training;teachers;professional,InContext,false,-,-,-,-,-,-,-
18,Public Works Dept,2022-11-25,2024-03-27,2273,water@district.gov,orientation;students;campus,InContext,true,Mandarin,zh,Standard,Human,true,98%,true
19,County Health Dept,2023-04-21,2024-06-29,2866,education@state.gov,tutorial;reading;kids,InContext,true,Arabic,ar,Standard,Upload,false,96%,false
20,Animal Services,2023-03-09,2024-04-26,2224,info@municipal.gov,lecture;biology;intro,InContext,false,Mandarin,zh,Standard,Human,false,95%,true
21,Community Outreach,2022-09-28,2024-07-01,1392,info@municipal.gov,council;meeting;public,InContext,false,-,-,-,-,-,-,-
22,Historic Preservation,2022-12-21,2024-10-14,2130,works@city.gov,applications;assistance;programs,InContext,false,German,de,EAD,Upload,false,94%,false
23,Housing Authority,2023-06-20,2024-02-10,2769,transit@regional.gov,programs;mentoring;education,InContext,true,German,de,EAD,Human,true,93%,true
24,School District Media,2022-12-27,2024-02-04,152,va@veterans.gov,applications;assistance;programs,InContext,true,German,de,Standard,Human,false,95%,true
25,Cultural Center,2022-10-03,2024-01-15,568,fire@city.gov,history;documents;preservation,InContext,false,-,-,-,-,-,-,-
26,Youth Services,2023-01-15,2024-04-19,2085,parks@county.gov,conservation;billing;services,InContext,true,English,en,Standard,Upload,false,92%,true
27,Youth Services,2022-08-16,2024-01-20,335,district@schools.edu,infrastructure;roads;maintenance,InContext,false,French,fr,Standard,Human,false,97%,true
28,Business Licensing,2022-02-19,2024-10-18,1481,district@schools.edu,history;documents;preservation,InContext,false,English,en,EAD,Upload,true,98%,true
29,State Education Dept,2022-08-17,2024-08-21,2642,info@municipal.gov,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
30,Animal Services,2023-03-17,2024-02-05,1979,youth@services.org,tutorial;reading;kids,InContext,false,Spanish,es,EAD,Human,true,92%,false
31,Building Dept,2023-06-02,2024-03-14,725,youth@services.org,infrastructure;roads;maintenance,InContext,false,-,-,-,-,-,-,-
32,Fleet Management,2022-05-03,2024-08-14,1311,center@community.org,safety;training;emergency,InContext,true,Mandarin,zh,EAD,Human,true,90%,false
33,School District Media,2023-06-17,2024-06-23,716,online@techcollege.edu,orientation;students;campus,InContext,false,-,-,-,-,-,-,-
34,Workforce Development,2022-06-08,2024-04-23,2667,district@schools.edu,courses;programming;certificates,InContext,false,English,en,EAD,Upload,true,95%,true
35,Job Training Center,2023-07-25,2024-05-07,2805,info@municipal.gov,wellness;vaccination;covid,InContext,false,Mandarin,zh,Standard,Upload,false,90%,true
36,Historic Preservation,2022-06-28,2024-09-20,1016,info@municipal.gov,safety;training;emergency,InContext,true,German,de,EAD,Upload,false,97%,true
37,University Video Portal,2023-04-10,2024-05-27,2880,transit@regional.gov,infrastructure;roads;maintenance,InContext,false,Spanish,es,EAD,Upload,true,95%,false
38,Community College,2023-10-27,2024-07-02,807,fire@city.gov,curriculum;math;science,InContext,false,French,fr,EAD,Upload,true,97%,false
39,Public Information,2023-10-02,2024-06-10,2909,media@college.edu,safety;routes;schedules,InContext,false,Mandarin,zh,EAD,Human,false,91%,false
40,Historic Preservation,2023-06-07,2024-04-29,1864,online@techcollege.edu,wellness;vaccination;covid,InContext,false,Mandarin,zh,Standard,Upload,false,93%,true
41,Workforce Development,2023-09-16,2024-09-04,1361,archives@state.gov,programs;sports;community,InContext,true,Spanish,es,Standard,Machine,false,95%,false
42,Water District,2022-07-05,2024-06-20,705,transit@regional.gov,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
43,Public Utilities,2022-12-06,2024-02-07,1241,works@city.gov,benefits;healthcare;support,InContext,false,German,de,EAD,Upload,false,96%,true
44,Economic Development,2023-03-20,2024-03-24,597,admin@university.edu,training;teachers;professional,InContext,true,Mandarin,zh,EAD,Human,false,90%,true
45,Human Resources,2022-05-14,2024-09-19,693,health@county.gov,history;documents;preservation,InContext,true,Mandarin,zh,Standard,Upload,false,90%,false
46,Public Library Media,2022-08-17,2024-01-09,2834,education@state.gov,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
47,Community Center,2022-09-13,2024-08-24,1280,info@municipal.gov,applications;assistance;programs,InContext,false,-,-,-,-,-,-,-
48,Neighborhood Watch,2022-06-30,2024-10-05,931,center@community.org,safety;routes;schedules,InContext,false,Arabic,ar,EAD,Upload,true,91%,false
49,Transportation Dept,2023-02-01,2024-10-15,2514,transit@regional.gov,conservation;billing;services,InContext,true,French,fr,EAD,Machine,false,95%,true
50,Senior Center,2023-02-28,2024-06-18,1828,health@county.gov,training;teachers;professional,InContext,false,-,-,-,-,-,-,-
51,Human Resources,2023-07-29,2024-04-29,223,district@schools.edu,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
52,Community Center,2022-03-06,2024-03-30,2586,info@municipal.gov,history;documents;preservation,InContext,false,Arabic,ar,Standard,Human,true,99%,false
53,County Health Dept,2023-07-13,2024-01-05,811,housing@authority.gov,tutorial;reading;kids,InContext,false,Arabic,ar,EAD,Machine,false,91%,false
54,Municipal Services,2023-02-05,2024-05-27,2360,works@city.gov,programs;sports;community,InContext,false,-,-,-,-,-,-,-
55,Human Resources,2023-05-03,2024-02-11,1017,environment@agency.gov,lecture;biology;intro,InContext,false,Spanish,es,EAD,Machine,true,97%,false
56,Disability Services,2023-06-15,2024-09-17,2349,archives@state.gov,training;teachers;professional,InContext,false,Spanish,es,EAD,Human,false,100%,true
57,Parks and Recreation,2022-06-03,2024-03-22,620,va@veterans.gov,infrastructure;roads;maintenance,InContext,false,Mandarin,zh,Standard,Human,false,94%,false
58,Energy Efficiency,2022-10-03,2024-01-14,1649,info@municipal.gov,programs;mentoring;education,InContext,true,English,en,EAD,Upload,true,99%,true
59,Building Dept,2023-05-12,2024-03-05,2190,archives@state.gov,courses;programming;certificates,InContext,true,Mandarin,zh,EAD,Machine,false,99%,true
60,Grant Administration,2022-12-12,2024-05-08,54,works@city.gov,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
61,Recycling Program,2022-08-09,2024-09-28,1061,info@municipal.gov,history;documents;preservation,InContext,false,-,-,-,-,-,-,-
62,Building Dept,2022-05-11,2024-06-21,2722,environment@agency.gov,history;documents;preservation,InContext,false,Arabic,ar,Standard,Machine,false,95%,true
63,Public Works Dept,2022-05-14,2024-08-21,1921,center@community.org,programs;mentoring;education,InContext,false,Arabic,ar,Standard,Upload,false,93%,false
64,Neighborhood Watch,2022-01-20,2024-08-01,190,media@college.edu,events;classes;seniors,InContext,true,Mandarin,zh,Standard,Upload,false,98%,true
65,Transportation Dept,2022-05-19,2024-09-09,298,admin@university.edu,infrastructure;roads;maintenance,InContext,false,-,-,-,-,-,-,-
66,Building Dept,2022-01-29,2024-04-20,2242,library@public.org,benefits;healthcare;support,InContext,false,Mandarin,zh,EAD,Human,false,97%,false
67,Regional Transit Auth,2022-11-09,2024-04-08,2877,online@techcollege.edu,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
68,Workforce Development,2022-09-20,2024-06-22,1652,education@state.gov,services;permits;applications,InContext,false,English,en,EAD,Upload,false,97%,false
69,Business Licensing,2022-09-10,2024-06-02,1656,library@public.org,benefits;healthcare;support,InContext,false,Mandarin,zh,Standard,Human,false,92%,true
70,School District Media,2023-01-07,2024-06-26,119,center@community.org,safety;training;emergency,InContext,false,-,-,-,-,-,-,-
71,Disability Services,2022-01-29,2024-06-10,1775,webmaster@city.gov,safety;training;emergency,InContext,false,Arabic,ar,EAD,Machine,true,100%,true
72,Regional Transit Auth,2023-08-20,2024-06-02,2009,library@public.org,wellness;vaccination;covid,InContext,true,Spanish,es,Standard,Human,true,96%,false
73,Community College,2022-02-10,2024-08-24,1780,admin@university.edu,council;meeting;public,InContext,false,English,en,EAD,Upload,true,98%,false
74,Volunteer Services,2023-07-25,2024-04-27,1755,parks@county.gov,events;classes;seniors,InContext,false,-,-,-,-,-,-,-
75,Historic Preservation,2023-01-20,2024-05-06,1658,center@community.org,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
76,Economic Development,2022-07-04,2024-09-22,1463,education@state.gov,curriculum;math;science,InContext,false,Arabic,ar,Standard,Upload,false,97%,false
77,Fleet Management,2022-01-08,2024-10-05,1466,archives@state.gov,conservation;recycling;climate,InContext,true,French,fr,EAD,Machine,true,93%,true
78,Public Works Dept,2023-04-04,2024-05-30,1333,youth@services.org,programs;mentoring;education,InContext,true,French,fr,Standard,Upload,true,93%,true
79,Fleet Management,2022-07-11,2024-05-15,699,health@county.gov,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
80,Code Enforcement,2023-02-09,2024-02-29,1388,admin@university.edu,benefits;healthcare;support,InContext,false,-,-,-,-,-,-,-
81,University Video Portal,2023-05-02,2024-04-19,1949,info@municipal.gov,services;permits;applications,InContext,true,Spanish,es,Standard,Upload,true,97%,false
82,Adult Education Center,2022-10-16,2024-04-05,876,housing@authority.gov,applications;assistance;programs,InContext,false,Arabic,ar,EAD,Upload,false,95%,false
83,Youth Services,2022-01-02,2024-02-09,2183,environment@agency.gov,tutorial;reading;kids,InContext,true,Arabic,ar,Standard,Upload,true,98%,false
84,Animal Services,2023-04-08,2024-04-22,2511,district@schools.edu,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
85,Workforce Development,2022-08-19,2024-08-03,2165,youth@services.org,training;teachers;professional,InContext,true,German,de,EAD,Human,false,100%,true
86,Adult Education Center,2023-04-04,2024-05-20,2220,works@city.gov,council;meeting;public,InContext,false,Arabic,ar,Standard,Human,true,99%,false
87,Public Works Dept,2023-02-08,2024-05-19,2945,library@public.org,council;meeting;public,InContext,false,German,de,EAD,Machine,false,98%,false
88,Community Outreach,2022-07-10,2024-02-22,1186,housing@authority.gov,services;permits;applications,InContext,true,English,en,Standard,Human,false,93%,false
89,Economic Development,2022-10-02,2024-02-29,1415,library@public.org,training;teachers;professional,InContext,true,Mandarin,zh,Standard,Upload,true,99%,true
90,Community Outreach,2023-06-21,2024-10-05,1806,media@college.edu,programs;mentoring;education,InContext,true,Spanish,es,EAD,Human,false,94%,true
91,Environmental Agency,2022-09-13,2024-08-04,1736,webmaster@city.gov,tutorial;reading;kids,InContext,false,French,fr,EAD,Upload,false,90%,false
92,Tech College Online,2022-10-11,2024-07-15,2194,admin@university.edu,services;permits;applications,InContext,false,German,de,EAD,Upload,false,99%,false
93,Regional Transit Auth,2022-09-07,2024-10-14,1031,housing@authority.gov,infrastructure;roads;maintenance,InContext,true,Mandarin,zh,EAD,Human,true,90%,true
94,Housing Authority,2023-01-18,2024-03-04,527,archives@state.gov,tutorial;reading;kids,InContext,true,French,fr,Standard,Machine,true,97%,true
95,Energy Efficiency,2023-01-24,2024-03-21,522,va@veterans.gov,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
96,Grant Administration,2023-01-06,2024-02-26,167,district@schools.edu,lecture;biology;intro,InContext,false,Arabic,ar,EAD,Machine,true,94%,true
97,Community Outreach,2022-02-20,2024-02-18,1670,works@city.gov,programs;sports;community,InContext,false,French,fr,Standard,Human,true,97%,true
98,IT Services,2022-01-02,2024-03-05,2387,fire@city.gov,council;meeting;public,InContext,false,English,en,Standard,Human,true,91%,true
99,Public Information,2023-10-11,2024-03-24,2569,works@city.gov,council;meeting;public,InContext,false,Arabic,ar,Standard,Upload,true,91%,true
100,Building Dept,2022-10-27,2024-03-19,641,transit@regional.gov,events;classes;seniors,InContext,false,-,-,-,-,-,-,-
101,Water District,2023-07-27,2024-10-19,305,archives@state.gov,conservation;billing;services,InContext,false,Mandarin,zh,Standard,Upload,true,98%,false
102,Neighborhood Watch,2022-12-13,2024-04-10,1716,archives@state.gov,safety;routes;schedules,InContext,false,English,en,Standard,Human,true,94%,true
103,Social Services,2023-02-08,2024-10-11,1106,district@schools.edu,infrastructure;roads;maintenance,InContext,true,German,de,Standard,Upload,true,91%,true
104,City Government Channel,2022-05-18,2024-06-27,246,online@techcollege.edu,events;classes;seniors,InContext,false,English,en,Standard,Upload,true,95%,true
105,Community Outreach,2022-01-02,2024-05-03,2028,youth@services.org,lecture;biology;intro,InContext,false,Mandarin,zh,Standard,Machine,true,96%,false
106,Senior Center,2023-07-02,2024-09-12,1510,media@college.edu,lecture;biology;intro,InContext,false,English,en,Standard,Upload,true,92%,true
107,Environmental Agency,2023-07-03,2024-06-15,2180,housing@authority.gov,safety;training;emergency,InContext,true,Arabic,ar,Standard,Machine,false,97%,true
108,Public Library Media,2022-10-02,2024-06-26,2768,media@college.edu,conservation;recycling;climate,InContext,true,Spanish,es,EAD,Machine,true,90%,false
109,School District Media,2023-04-07,2024-09-28,1943,housing@authority.gov,events;classes;seniors,InContext,true,Spanish,es,EAD,Upload,true,90%,true
110,Building Dept,2022-12-30,2024-02-19,2460,works@city.gov,safety;routes;schedules,InContext,false,Spanish,es,EAD,Machine,false,90%,false
